Canonical Form,Total Record Count,Match 1 Label,Match 1 URI,Match 1 Score,Match 2 Label,Match 2 URI,Match 2 Score,Match 3 Label,Match 3 URI,Match 3 Score,Possible Group Match (needs review)
Czechoslovakia,1,Czechoslovakia,http://id.loc.gov/authorities/names/n81032269-781,100%,Czechoslovakia,http://id.loc.gov/authorities/names/n81032269,100%,Silesia (Czechoslovakia),http://id.loc.gov/authorities/names/n83032746,74%,
United States. Bureau of Economic Analysis.,1,United States. Bureau of Economic Analysis. Regional Economic Accounts,http://id.loc.gov/authorities/names/no2008158407,76%,United States. Bureau of Economic Analysis. Regional Economics Division,http://id.loc.gov/authorities/names/n80165384,75%,United States. Bureau of Economic Analysis. Interindustry Economics Division,http://id.loc.gov/authorities/names/n87141034,72%,
"Dept. of the Army, Corps of Engineers, Board of Engineers for Rivers and Harbors",1,,,,,,,,,,
U.S. Army Corps. of Engineers,1,U.S. Army Corps of Engineers Remote Sensing Symposium,http://id.loc.gov/authorities/names/n80123729,68%,"Stevens, Marjorie (Of the U.S. Army, Corps of Engineers)",http://id.loc.gov/authorities/names/no2021090754,66%,United States. Army. Corps of Engineers. Omaha District,http://id.loc.gov/authorities/names/n82003757,64%,U.S. Army Corps of Engineers Navigation Data Center (67%)
United States Central Intelligence Agency,1,United States. Central Intelligence Agency. Office of Global Issues,http://id.loc.gov/authorities/names/no89016122,76%,United States. Central Intelligence Agency. Directorate of Intelligence,http://id.loc.gov/authorities/names/n81013468,73%,United States. Central Intelligence Agency. Special Activities Division,http://id.loc.gov/authorities/names/n2022059935,73%,United States. Central Intelligence Agency. (100%); Central Intelligence Agency (60%)
"U.S. Dept of the Interior, U.S. Geological Survey",1,,,,,,,,,,
New York (N.Y.). Department of Health and Mental Hygiene,1,New York (N.Y.). Department of Health and Mental Hygiene. Office of AIDS Policy,http://id.loc.gov/authorities/names/n2006055451,83%,New York (N.Y.). Department of Health and Mental Hygiene. Lead Poisoning Prevention Program,http://id.loc.gov/authorities/names/no2005057306,76%,"New York (N.Y.). Department of Health and Mental Hygiene. Bureau of Planning, Evaluation, and Quality Improvement",http://id.loc.gov/authorities/names/n2004013400,66%,
Department of Information Technology and Telecommunication,1,India. Department of Telecommunications,http://id.loc.gov/authorities/names/n87849337,64%,,,,,,,Department of Information Technology and Telecommunications (71%); >Department of Information Technology and Telecommunications (71%)
Columbia University. Libraries. Research Data Services.,1,,,,,,,,,,
"Aerospace Center,",1,Grumman Aerospace Corporation. Research and Development Center,http://id.loc.gov/authorities/names/n85071109,41%,Drew University. Center for Aerospace Education,http://id.loc.gov/authorities/names/n83213557,38%,RTI International. Center for Aerospace Technology,http://id.loc.gov/authorities/names/no2009013577,36%,
"Army Topographic Command,",1,United States. Army Topographic Command,http://id.loc.gov/authorities/names/n79119419,75%,U.S. Army Engineer Topographic Laboratories,http://id.loc.gov/authorities/names/n80123533,56%,United States. Geographic Names Division,http://id.loc.gov/authorities/names/n80020692,40%,United States. Army Topographic Command. (60%)
U. S. Army Topographical Command,1,United States. Army Topographic Command,http://id.loc.gov/authorities/names/n79119419,82%,,,,,,,U.S. Army Topographical Command (100%)
U.S. Army Topographical Command,1,United States. Army Topographic Command,http://id.loc.gov/authorities/names/n79119419,80%,,,,,,,U. S. Army Topographical Command (100%)
The Command,1,"Taken, at the boss's command",http://id.loc.gov/authorities/names/no2009144497,56%,"Williams, Cathy. At the Italian's command. Afrikaans",http://id.loc.gov/authorities/names/no2008090717,35%,"Hood-Stewart, Fiona. At the Spanish duke's command. Afrikaans",http://id.loc.gov/authorities/names/no2008056150,31%,
"Army Map Service,",1,AFFE Map Service,http://id.loc.gov/authorities/names/n2009040931,79%,United States. Army Map Service,http://id.loc.gov/authorities/names/n79122611,67%,Orientation map series,http://id.loc.gov/authorities/names/no2014077414,56%,"United States. Army Map Service. (60%); Army Map Service, U.S. Army (60%)"
"The Battalion,",1,Daughters of the Mormon Battalion,http://id.loc.gov/authorities/names/no2009068525,55%,Texas Rangers. Frontier Battalion. Company D,http://id.loc.gov/authorities/names/no2009037028,41%,United States. Army of the Potomac. Engineer Battalion,http://id.loc.gov/authorities/names/n2011034483,38%,
"NIMA,",1,"Bah, Nima, 1927-",http://id.loc.gov/authorities/names/no2016000964,48%,"Nūrʹmuḥammadī, Nīmā",http://id.loc.gov/authorities/names/n2009206771,33%,"Niyā, Nīmā, 1987 or 1988-",http://id.loc.gov/authorities/names/n2016057559,27%,
": Defense Mapping Agency Hydrographic/Topographic Center,",1,United States. Defense Mapping Agency. Hydrographic/Topographic Center,http://id.loc.gov/authorities/names/n81134632,87%,Pub. (United States. Defense Mapping Agency. Hydrographic/Topographic Center),http://id.loc.gov/authorities/names/n42019917,82%,United States. Defense Mapping Agency. Hydrographic/Topographic Center. Providence Office,http://id.loc.gov/authorities/names/n88077253,75%,"Defense Mapping Agency, Hydrographic/Topographic Center, (100%); Defense Mapping Agency Hydrographic/Topographic Center, (100%); Defense Mapping Agency Hydrographic-Topographic Center, (100%)"
Halcrow,1,"Halcrow, W.",http://id.loc.gov/authorities/names/n84135788,78%,"Halcrow, Viv",http://id.loc.gov/authorities/names/nb2015014504,74%,"Halcrow, Kitty",http://id.loc.gov/authorities/names/nb2022007566,67%,
Direccion General de Catastro y Geografia,1,,,,,,,,,,
Land Information New Zealand,1,Land Information New Zealand,http://id.loc.gov/authorities/names/no89009247,100%,Land Information New Zealand. LINZ Support Group,http://id.loc.gov/authorities/names/no89009243,74%,Land Information New Zealand. Overseas Investment Office,http://id.loc.gov/authorities/names/no2006023276,67%,
National Survey Authority,1,Sudan. National Survey Authority,http://id.loc.gov/authorities/names/no2012129999,88%,New Zealand. National Parks Authority,http://id.loc.gov/authorities/names/n50009458,65%,New Zealand. National Parks and Reserves Authority,http://id.loc.gov/authorities/names/n84058692,61%,Sudan National Survey Authority (75%)
Servicio Geografico Militar,1,Ecuador. Servicio Geográfico Militar,http://id.loc.gov/authorities/names/no2014117161,83%,Uruguay. Servicio Geográfico Militar,http://id.loc.gov/authorities/names/n50083021,83%,Instituto Geográfico Militar (Peru),http://id.loc.gov/authorities/names/n50081960,68%,
Geological Survey,1,"Ghosh, Sambhunath, of Geological Survey of India",http://id.loc.gov/authorities/names/no99077961,52%,"Smith, Martin (Of the British Geological Survey)",http://id.loc.gov/authorities/names/no2024135438,52%,"Berg, Michael J. (Of the United States Geological Survey)",http://id.loc.gov/authorities/names/no2020105878,46%,Pennsylvania Geological Survey (67%); Maryland Geological Survey. (67%)
Research and Innovative Technology Administration's Bureau of Transportation Statistics,1,,,,,,,,,,Research and Innovative Technology Administration/Bureau of Transportation Statistics (90%); Research and Innovative Technology Administration's Bureau of Transportation Statistics (RITA/BTS) (83%)
New York Times Company,1,New York Times Company,http://id.loc.gov/authorities/names/n81050013,100%,New York Times Company Foundation,http://id.loc.gov/authorities/names/n89625224,80%,Publication of the New York Times Company,http://id.loc.gov/authorities/names/no92018093,70%,
Platts,1,"Platts, John, 1775-1837",http://id.loc.gov/authorities/names/n83180297,41%,"Clark-Platts, Alice, 1976-",http://id.loc.gov/authorities/names/n2016221148,38%,"Platts-Mills, Barney, 1944-",http://id.loc.gov/authorities/names/n77006431,36%,
New York (N.Y.). Taxi and Limousine Commission,1,New York (N.Y.). Taxi and Limousine Commission,http://id.loc.gov/authorities/names/n93029964,100%,,,,,,,
